country,division,district,thana,area,postal_code,latitude,longitude
Bangladesh,Barishal,Barguna,Amtali,Amtali,8710,22.08180538,90.19249692
Bangladesh,Barishal,Barguna,Bamna,Bamna,8730,22.1417742714286,90.1230914285714
Bangladesh,Barishal,Barguna,Barguna Sadar,Barguna Sadar,8700,22.1614057,90.1215241333333
Bangladesh,Barishal,Barguna,Barguna Sadar,Nali Bandar,8701,22.1417742714286,90.1230914285714
Bangladesh,Barishal,Barguna,Betagi,Betagi,8740,22.1417742714286,90.1230914285714
Bangladesh,Barishal,Barguna,Betagi,Darul Ulam,8741,22.1417742714286,90.1230914285714
Bangladesh,Barishal,Barguna,Patharghata,Kakchira,8721,22.1417742714286,90.1230914285714
Bangladesh,Barishal,Barguna,Patharghata,Patharghata,8720,22.1417742714286,90.1230914285714
Bangladesh,Barishal,Barishal,Agailzhara,Agailzhara,8240,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Agailzhara,Gaila,8241,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Agailzhara,Paisarhat,8242,22.9721441,90.080273
Bangladesh,Barishal,Barishal,Babuganj,Babuganj,8210,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Babuganj,Barishal Cadet,8216,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Babuganj,Chandpasha,8212,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Babuganj,Madhabpasha,8213,22.76802625,90.273126375
Bangladesh,Barishal,Barishal,Babuganj,Nizamuddin College,8215,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Babuganj,Rahamatpur,8211,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Babuganj,Thakur Mallik,8214,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Barajalia,Barajalia,8260,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Barajalia,Osman Manjil,8261,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Barishal Sadar,Barishal Sadar,8200,22.6843778595238,90.3687875642857
Bangladesh,Barishal,Barishal,Barishal Sadar,Bukhainagar,8201,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Barishal Sadar,Jaguarhat,8206,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Barishal Sadar,Kashipur,8205,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Barishal Sadar,Patang,8204,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Barishal Sadar,Saheberhat,8202,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Barishal Sadar,Sugandia,8203,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Gouranadi,Batajor,8233,22.8993692310345,90.3035791965517
Bangladesh,Barishal,Barishal,Gouranadi,Gouranadi,8230,22.9711911888889,90.2283354388889
Bangladesh,Barishal,Barishal,Gouranadi,Kashemabad,8232,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Gouranadi,Tarki Bandar,8231,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Mahendiganj,Langutia,8274,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Mahendiganj,Laskarpur,8271,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Mahendiganj,Mahendiganj,8270,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Mahendiganj,Nalgora,8273,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Mahendiganj,Ulania,8272,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Muladi,Charkalekhan,8252,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Muladi,Kazirchar,8251,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Muladi,Muladi,8250,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Sahebganj,Charamandi,8281,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Sahebganj,kalaskati,8284,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Sahebganj,Padri Shibpur,8282,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Sahebganj,Sahebganj,8280,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Sahebganj,Shialguni,8283,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Uzirpur,Dakuarhat,8223,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Uzirpur,Dhamura,8221,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Uzirpur,Jugirkanda,8222,22.8508039,90.0974617
Bangladesh,Barishal,Barishal,Uzirpur,Shikarpur,8224,22.6994788,90.3619401
Bangladesh,Barishal,Barishal,Uzirpur,Uzirpur,8220,22.82294705,90.25114095
Bangladesh,Barishal,Bhola,Bhola Sadar,Bhola Sadar,8300,22.6438670375,90.67775415
Bangladesh,Barishal,Bhola,Bhola Sadar,Joynagar,8301,22.5967158444444,90.5073316777778
Bangladesh,Barishal,Bhola,Borhanuddin UPO,Borhanuddin UPO,8320,22.496529,90.7192273
Bangladesh,Barishal,Bhola,Borhanuddin UPO,Mirzakalu,8321,22.5967158444444,90.5073316777778
Bangladesh,Barishal,Bhola,Charfashion,Charfashion,8340,22.18667589375,90.75910179375
Bangladesh,Barishal,Bhola,Charfashion,Dularhat,8341,22.5967158444444,90.5073316777778
Bangladesh,Barishal,Bhola,Charfashion,Keramatganj,8342,22.5967158444444,90.5073316777778
Bangladesh,Barishal,Bhola,Doulatkhan,Doulatkhan,8310,22.5718953,90.710938
Bangladesh,Barishal,Bhola,Doulatkhan,Hajipur,8311,22.5967158444444,90.5073316777778
Bangladesh,Barishal,Bhola,Hajirhat,Hajirhat,8360,22.5967158444444,90.5073316777778
Bangladesh,Barishal,Bhola,Hatshoshiganj,Hatshoshiganj,8350,22.5967158444444,90.5073316777778
Bangladesh,Barishal,Bhola,Lalmohan UPO,Daurihat,8331,22.5967158444444,90.5073316777778
